Estado|Fecha del Vuelo|Hora de Salida|Nueva Hora de Salida|Destino|Vuelo|Gate
EMBARQUE FINALIZADO|13/10/2024|23:20|23:20|ATLANTA|DL 150|19
EMBARQUE FINALIZADO|13/10/2024|23:20|23:20|RIO DE JANEIRO|LA 2404|26
EMBARQUE FINALIZADO|14/10/2024|23:30|00:02|SANTIAGO|JA 7731|14
EMBARQUE FINALIZADO|13/10/2024|23:45|23:45|MIAMI|AA 988|25
EMBARQUE FINALIZADO|13/10/2024|23:50|23:50|BUENOS AIRES|LA 1437|12
EMBARCANDO|14/10/2024|23:50|00:15|MONTEVIDEO|LA 2420|B1
EMBARQUE FINALIZADO|13/10/2024|23:55|23:55|BUENOS AIRES|LA 2465|B11
EMBARQUE FINALIZADO|14/10/2024|00:05|00:05|BOGOTA|LA 2444|B7
EMBARQUE FINALIZADO|14/10/2024|00:05|00:05|NUEVA YORK|LA 2468|21
EMBARQUE FINALIZADO|14/10/2024|00:05|00:05|MEXICO|LA 2472|24
EMBARQUE FINALIZADO|14/10/2024|00:15|00:15|MEXICO|AM 019|16
EMBARQUE FINALIZADO|14/10/2024|00:15|00:15|MIAMI|LA 2480|17
EMBARQUE FINALIZADO|14/10/2024|00:15|00:15|SAO PAULO|H2 5564|27
EMBARQUE FINALIZADO|14/10/2024|00:15|00:15|SAO PAULO|LA 8005|15
EMBARQUE FINALIZADO|14/10/2024|00:25|00:25|BUENOS AIRES|H2 5571|B5
EMBARQUE FINALIZADO|14/10/2024|00:30|00:30|QUITO|LA 2486|33
EMBARQUE FINALIZADO|14/10/2024|00:30|00:30|CORDOBA|LA 2364|B3
EMBARQUE FINALIZADO|14/10/2024|00:30|00:30|SANTIAGO|H2 805|19
EMBARQUE FINALIZADO|14/10/2024|00:30|00:30|BRASILIA|LA 2402|30
EMBARQUE FINALIZADO|14/10/2024|00:40|04:30|SANTA CRUZ|OB 741|19
EMBARQUE FINALIZADO|14/10/2024|00:50|00:50|SANTIAGO|LA 523|22
EMBARQUE FINALIZADO|14/10/2024|00:55|00:55|SANTA CRUZ|LA 2406|B10
EMBARQUE FINALIZADO|14/10/2024|01:00|00:45|MIAMI|H8 5590|13
EMBARQUE FINALIZADO|14/10/2024|01:00|01:00|PANAMA|CM 338|18
